"INI-CET Essentials Series (50 Most High Yield Question) Live On PW MedEd NEET PG | FMGE | INICET | YT Channel & MedEd App Time : 5pm Onwards Date","Faculty Name","Subject","Time","","","","","","","","","","","","","","","","","","","",""
"Saturday, September 5, 2026","Dr. Ranjith AR","Pathology ","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Monday, September 7, 2026","Dr. Manjunath A","Forensic Medicine","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Thursday, September 10, 2026","Dr. Vinish Srivastava","Anaesthesia","7 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Saturday, September 12, 2026","Dr. Rajesh Jambhulkar","Biochemistry ","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Monday, September 14, 2026","Dr. Ashwani Ranjan","Community Medicine ","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Wednesday, September 16, 2026","Dr. Sudha Seetharam","Ophthalmology ","7 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Friday, September 18, 2026","Dr. Sanchit Bajpai","ENT","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Monday, September 21, 2026","Dr. Santhosh Patil","Medicine ","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Wednesday, September 23, 2026","Dr. Era Dutta","Psychiatry","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Friday, September 25, 2026","Dr. Siraj Ahmad","Pharmacology ","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Sunday, September 27, 2026","Dr. Vivek Nalgirkar","Physiology ","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Thursday, October 1, 2026","Dr. Prassan Vij","OBG ","11 am Onwards","","","","","","","","","","","","","","","","","","","",""
"Saturday, October 3, 2026","Dr. Alekhya","Orthopedics","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Monday, October 5, 2026","Dr. Sandeep Seeramreddi","Surgery ","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Wednesday, October 7, 2026","Dr. Natisha Arora","Radiology","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Friday, October 9, 2026","Dr. Jazeer Abdul Khader","Dermatology","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Monday, October 12, 2026","Dr. Anusha Rathi","Microbiology ","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Wednesday, October 14, 2026","Dr. Divya Madan","Pediatrics ","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
"Saturday, October 17, 2026","Dr. Pradeep Pawar","Anatomy ","5 pm Onwards","","","","","","","","","","","","","","","","","","","",""
