"FMGE Express Revision Series Live On PW MedEd NEET PG | FMGE | INICET | YT Channel & MedEd App Time : 3 PM to 11 PM  Date","Faculty Name","Subject","Time","","","","","","","","","","","","","","","","","","",""
"Friday, September 11, 2026","Dr. Ranjith AR","Pathology ","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Saturday, September 12, 2026","Dr. Vinish Srivastava","Anaesthesia","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Sunday, September 13, 2026","Dr. Sudha Seetharam","Ophthalmology ","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Monday, September 14, 2026","Dr. Siraj Ahmad","Pharmacology ","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Tuesday, September 15, 2026","Dr. Ashwani Ranjan","PSM Session Part - 1","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Wednesday, September 16, 2026","Dr. Ashwani Ranjan","PSM Session Part - 2","1 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Thursday, September 17, 2026","Dr. Natisha Arora","Radiology","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Saturday, September 19, 2026","Dr. Alekhya","Orthopedics","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Monday, September 21, 2026","Dr. Jazeer Abdul Khader","Dermatology","1 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Tuesday, September 22, 2026","Dr. Anusha Rathi","Microbiology ","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Monday, September 28, 2026","Dr. Prassan Vij","OBG Session Part - 1","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Tuesday, September 29, 2026","Dr. Era Dutta","Psychiatry","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Wednesday, September 30, 2026","Dr. Manjunath A","Forensic Medicine","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Thursday, October 1, 2026","Dr. Santhosh Patil","Medicine Session Part - 1","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Friday, October 2, 2026","Gandhi Jayanti","","","","","","","","","","","","","","","","","","","","",""
"Saturday, October 3, 2026","Dr. Rajesh Jambhulkar","Biochemistry ","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Monday, October 5, 2026","Dr. Santhosh Patil","Medicine  Session Part - 2","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Tuesday, October 6, 2026","Dr. Sanchit Bajpai","ENT","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Wednesday, October 7, 2026","Dr. Divya Madan","Pediatrics ","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Thursday, October 8, 2026","Dr. Prassan Vij","OBG Session Part - 2","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Saturday, October 10, 2026","Dr. Vivek Nalgirkar ","Physiology ","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Tuesday, October 13, 2026","Dr. Sandeep Seeramreddi","Surgery  Session Part -1","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Wednesday, October 14, 2026","Dr. Pradeep Pawar","Anatomy ","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
"Thursday, October 15, 2026","Dr. Sandeep Seeramreddi","Surgery Session Part - 2","3 PM to 11 PM ","","","","","","","","","","","","","","","","","","",""
